bahubali	बाहुबली
liye	लिए
line	लाइन
lag	लग
sakte	सकते
hai	है
desh	देश
kyun	क्यों
lage	लगे
agar	अगर
political	पॉलिटिकल
bhi	भी
daayre	दायरे
aa	आ
jati	जाती
patthar	पत्थर
hote	होते
nahi	नही
hua	हुआ
lekin	लेकिन
yeh	यह
baat	बात
public	पब्लिक
tak	टाक
pahuncha	पहुँचा
sake	सके
level	लेवल
kaam	काम
kabhi	कभी
aap	आप
lokpal	लोकपाल
par	पर
ki	की
kyo	क्यो
aakhir	आखिर
modi	मोदी
ji	जी
kya	क्या
rakha	रखा
media	मेडिया
ko	को
naxali	नक्सली
aatankwad	आतंकवाद
mila	मिला
bas	बस
vishwas	विश्वास
dila	दिला
kewal	केवल
jaisa	जैसा
kar	कर
hain	हैं
jiska	जिसका
zero	ज़ेरो
pehle	पहले
tum	तुम
logon	लोगों
ka	का
mudda	मुद्दा
uthaya	उठाया
janta	जानता
tumhe	तुम्हे
dikha	दिखा
di	दी
bhana	भाना
baad	बाद
khtam	ख़तम
chote	छोटे
phaisale	फैसले
lene	लेने
kuch	कुच
hoga	होगा
chod	छोड़
naqli	नकली
sakti	सक्ति
vote	वोट
wahi	वही
phir	फिर
baar	बार
karo	कारो
modiji	मोदीजी
paththarwazon	पथ्थरवाजों
kamar	कमर
tod	तोड़
degi	देगी
sari	सारी
khatm	खात्म
chuki	चुकी
jai	जय
hind	हिंद
aam	आम
laakh	लाख
aaye	आये
akele	अकेले
sabka	सबका
paisa	पैसा
kaise	कैसे
ghot	घोट
atankiyo	आतंकियों
karni	करनी
kaka	काका
lekar	लेकर
gae	गए
viagra	वियाग्रा
aatankvad	आतंकवाद
khatam	खातम
honai	होनाई
wala	वाला
sawal	सवाल
puchna	पूछना
himmat	हिम्मत
sir	सिर
bihar	बिहार
aaj	आज
raat	रात
bje	बजे
tejaswi	तेजस्वी
valid	वालिद
rahenge	रहेंगे
hogi	होगी
lakar	लाकर
badal	बदल
diya	दिया
aagai	आगाई
dhekhlo	ढेखलो
wtsaap	अटसैप
imagine	इमेजिन
mein	में
pata	पाटा
inhe	इन्हे
ban	बैन
